date,ipca_index,ipca_pct
2011-01-03,1.0,0.83
2011-01-04,1.0003936843503527,0.83
2011-01-05,1.000787523688073,0.83
2011-01-06,1.0011815180741772,0.83
2011-01-07,1.0015756675697054,0.83
2011-01-10,1.0019699722357216,0.83
2011-01-11,1.002364432133314,0.83
2011-01-12,1.002759047323595,0.83
2011-01-13,1.0031538178677009,0.83
2011-01-14,1.0035487438267918,0.83
2011-01-17,1.0039438252620525,0.83
2011-01-18,1.0043390622346915,0.83
2011-01-19,1.0047344548059411,0.83
2011-01-20,1.0051300030370585,0.83
2011-01-21,1.0055257069893242,0.83
2011-01-24,1.0059215667240433,0.83
2011-01-25,1.0063175823025448,0.83
2011-01-26,1.006713753786182,0.83
2011-01-27,1.0071100812363325,0.83
2011-01-28,1.0075065647143977,0.83
2011-01-31,1.0079032042818035,0.83
2011-02-01,1.0083048414704057,0.8
2011-02-02,1.0087066387065504,0.8
2011-02-03,1.0091085960540154,0.8
2011-02-04,1.0095107135766026,0.8
2011-02-07,1.00991299133814,0.8
2011-02-08,1.0103154294024808,0.8
2011-02-09,1.0107180278335035,0.8
2011-02-10,1.0111207866951124,0.8
2011-02-11,1.0115237060512374,0.8
2011-02-14,1.0119267859658334,0.8
2011-02-15,1.012330026502881,0.8
2011-02-16,1.0127334277263864,0.8
2011-02-17,1.013136989700381,0.8
2011-02-18,1.0135407124889222,0.8
2011-02-21,1.0139445961560922,0.8
2011-02-22,1.0143486407659998,0.8
2011-02-23,1.0147528463827784,0.8
2011-02-24,1.015157213070587,0.8
2011-02-25,1.015561740893611,0.8
2011-02-28,1.0159664299160605,0.8
2011-03-01,1.016314080581168,0.79
2011-03-02,1.0166618502078684,0.79
2011-03-03,1.017009738836869,0.79
2011-03-04,1.0173577465088908,0.79
2011-03-07,1.0177058732646689,0.79
2011-03-08,1.0180541191449521,0.79
2011-03-09,1.0184024841905033,0.79
2011-03-10,1.0187509684420992,0.79
2011-03-11,1.019099571940531,0.79
2011-03-14,1.019448294726603,0.79
2011-03-15,1.0197971368411338,0.79
2011-03-16,1.0201460983249564,0.79
2011-03-17,1.0204951792189174,0.79
2011-03-18,1.0208443795638773,0.79
2011-03-21,1.0211936994007107,0.79
2011-03-22,1.0215431387703064,0.79
2011-03-23,1.0218926977135667,0.79
2011-03-24,1.0222423762714083,0.79
2011-03-25,1.0225921744847617,0.79
2011-03-28,1.0229420923945718,0.79
2011-03-29,1.0232921300417968,0.79
2011-03-30,1.0236422874674094,0.79
2011-03-31,1.0239925647123964,0.79
2011-04-01,1.0243853671035672,0.77
2011-04-04,1.0247783201732916,0.77
2011-04-05,1.0251714239793697,0.77
2011-04-06,1.0255646785796235,0.77
2011-04-07,1.025958084031898,0.77
2011-04-08,1.0263516403940596,0.77
2011-04-11,1.0267453477239972,0.77
2011-04-12,1.0271392060796216,0.77
2011-04-13,1.0275332155188666,0.77
2011-04-14,1.0279273760996874,0.77
2011-04-15,1.0283216878800616,0.77
2011-04-18,1.0287161509179894,0.77
2011-04-19,1.029110765271493,0.77
2011-04-20,1.029505530998617,0.77
2011-04-22,1.0299004481574279,0.77
2011-04-25,1.030295516806015,0.77
2011-04-26,1.0306907370024894,0.77
2011-04-27,1.0310861088049845,0.77
2011-04-28,1.031481632271657,0.77
2011-04-29,1.031877307460684,0.77
2011-05-02,1.0320972609837393,0.47
2011-05-03,1.03231726139178,0.47
2011-05-04,1.0325373086947998,0.47
2011-05-05,1.0327574029027948,0.47
2011-05-06,1.0329775440257634,0.47
2011-05-09,1.0331977320737056,0.47
2011-05-10,1.033417967056624,0.47
2011-05-11,1.0336382489845233,0.47
2011-05-12,1.03385857786741,0.47
2011-05-13,1.0340789537152932,0.47
2011-05-16,1.0342993765381838,0.47
2011-05-17,1.034519846346095,0.47
2011-05-18,1.0347403631490417,0.47
2011-05-19,1.0349609269570417,0.47
2011-05-20,1.0351815377801143,0.47
2011-05-23,1.0354021956282815,0.47
2011-05-24,1.0356229005115665,0.47
2011-05-25,1.0358436524399959,0.47
2011-05-26,1.0360644514235973,0.47
2011-05-27,1.0362852974724013,0.47
2011-05-30,1.03650619059644,0.47
2011-05-31,1.036727130805748,0.47
2011-06-01,1.036797766191177,0.15
2011-06-02,1.0368684063892104,0.15
2011-06-03,1.0369390514001766,0.15
2011-06-06,1.0370097012244028,0.15
2011-06-07,1.0370803558622175,0.15
2011-06-08,1.037151015313948,0.15
2011-06-09,1.037221679579923,0.15
2011-06-10,1.0372923486604702,0.15
2011-06-13,1.0373630225559176,0.15
2011-06-14,1.0374337012665935,0.15
2011-06-15,1.0375043847928258,0.15
2011-06-16,1.0375750731349425,0.15
2011-06-17,1.0376457662932719,0.15
2011-06-20,1.037716464268142,0.15
2011-06-21,1.037787167059881,0.15
2011-06-22,1.0378578746688172,0.15
2011-06-23,1.0379285870952788,0.15
2011-06-24,1.0379993043395939,0.15
2011-06-27,1.0380700264020908,0.15
2011-06-28,1.0381407532830977,0.15
2011-06-29,1.0382114849829431,0.15
2011-06-30,1.0382822215019551,0.15
2011-07-01,1.0383612685093522,0.16
2011-07-04,1.0384403215347942,0.16
2011-07-05,1.0385193805787394,0.16
2011-07-06,1.0385984456416464,0.16
2011-07-07,1.0386775167239735,0.16
2011-07-08,1.0387565938261785,0.16
2011-07-11,1.03883567694872,0.16
2011-07-12,1.0389147660920564,0.16
2011-07-13,1.0389938612566456,0.16
2011-07-14,1.0390729624429464,0.16
2011-07-15,1.0391520696514174,0.16
2011-07-18,1.039231182882517,0.16
2011-07-19,1.0393103021367034,0.16
